country,region,total_userate,urban_rate,income
Afghanistan,South Asia,3.654121623,24.04,0.0
Albania,Europe,44.98994696,46.72,1914.996551
Algeria,Africa,12.50007331,65.22,2231.993335
Andorra,Europe,81.0,88.92,21943.3399
Angola,Africa,9.999953883,56.7,1381.004268
Antigua and Barbuda,North America,80.64545455,30.46,11894.46407
Argentina,South America,36.00033495,92.0,10749.41924
Armenia,Europe,44.00102458,63.86,1326.741757
Aruba,North America,41.80088889,46.78,0.0
Australia,Oceania,75.8956538,88.74,25249.98606
Austria,Europe,72.73157554,67.16,26692.98411
Azerbaijan,Europe,46.67970157,51.92,2344.896916
Bahamas,North America,42.98458017,83.7,19630.54055
Bahrain,Middle East,54.99280903,88.52,12505.21254
Bangladesh,South Asia,3.70000326,27.14,558.0628766
Barbados,North America,70.02859927,39.84,9243.587053
Belarus,Europe,32.05214391,73.46,2737.670379
Belgium,Europe,73.73393447,97.36,24496.04826
Belize,North America,12.64573333,51.7,3545.652174
Benin,Africa,3.129961803,41.2,377.0396995
Bermuda,North America,84.65451409,100.0,62682.14701
Bhutan,South Asia,13.59887603,34.48,1324.194906
Bolivia,South America,20.00171014,65.58,1232.794137
Bosnia and Herzegovina,Europe,52.00206064,47.44,2183.344867
Botswana,Africa,5.999835575,59.58,4189.436587
Brazil,South America,40.650098,85.58,4699.411262
Brunei,Southeast Asia,49.98997494,74.82,17092.46
Bulgaria,Europe,45.98658991,71.1,2549.558474
Burkina Faso,Africa,1.4000607,19.56,276.200413
Burundi,Africa,2.100212706,10.4,115.3059959
Cambodia,Southeast Asia,1.259933609,21.56,557.9475126
Cameroon,Africa,3.999977346,56.76,713.6393027
Canada,North America,81.33839269,80.4,25575.35262
Cape Verde,Africa,29.99993952,59.62,1959.844472
Cayman Islands,North America,66.0,100.0,0.0
Central African Rep.,Africa,2.300026653,38.58,239.5187494
Chad,Africa,1.700031496,26.68,275.8842865
Chile,South America,45.0,88.44,6334.105194
China,East Asia,34.37778952,43.1,2425.471293
Colombia,South America,36.49987464,74.5,3233.42378
Comoros,Africa,5.098265306,28.08,336.3687495
"Congo, Dem. Rep.",Africa,0.720008677,33.96,103.7758572
"Congo, Rep.",Africa,4.999875093,61.34,1253.292015
Cook Islands,Oceania,0.0,0.0,0.0
Costa Rica,North America,36.49911472,63.26,5188.900935
Cote d'Ivoire,Africa,2.599973655,48.78,591.0679443
Croatia,Europe,60.11970702,57.28,6338.494668
Cuba,North America,15.89997034,75.66,4495.046262
Cyprus,Europe,53.02474483,69.9,15313.85935
Czech Rep.,Europe,68.63813347,73.5,7381.312751
Denmark,Europe,88.77025387,86.68,30532.27704
Djibouti,Africa,6.49792351,87.3,895.3183396
Dominica,North America,47.28043603,73.92,6147.77961
Dominican Rep.,North America,39.53127426,69.02,4049.169629
Ecuador,South America,28.99947674,65.58,1728.020976
Egypt,Africa,26.74002538,42.72,1975.551906
El Salvador,North America,15.89998203,60.7,2557.433638
